anglais,chinois
sloping street,陡坡街道
sluice,水闸
small cakes,小蛋糕
small christmas tree,小圣诞树
small dam,小坝
small river,小河
small town,小城
smartphone,智能手机
smile,微笑
smiling,微笑
smoke,烟
smoked,烟熏
smokestack,烟囱
smoking,吸烟
snack,小吃
sneakers,运动鞋
snow in summer,绒毛卷耳
snowflake pattern,雪花图案
snowglobe,雪花玻璃球
snowman,雪人
sober,素雅
social,社交
socializing,社交
sock snowman,袜子雪人
soft,柔软
soft colors,柔和色彩
soft focus,柔焦
soft focus background,柔焦背景
soft light,柔光
soft lighting,柔和灯光
soft sunlight,柔和阳光
soft toys,毛绒玩具
soil,土壤
solar corona,日冕
solar eclipse,日食
solar prominence,日珥
sole,孤独
solemn,庄严
solitary,孤独
solitary walker,独行者
solitude,孤独
sommeil,睡眠
soothing,舒缓
soup,汤
south,南方
southwestern france,法国西南部
souvenir,纪念品
space,太空
spaghetti,意大利面
spain,西班牙
spain travel,西班牙旅行
sparkling water,波光粼粼的水
sparrow,麻雀
spear,长矛
specialty coffee,精品咖啡
spectators,观众
spiky flower,尖刺花
spiky foliage,尖叶植物
spiral,螺旋
spire,尖顶
spire roof,尖顶屋顶
spires,尖塔
spiritual,灵性
spirituality,灵性
splashing waves,飞溅的浪花
sport,运动
sports field,运动场
spray paint,喷漆
spring,春天
spring bloom,春日花开
spring flower,春花
spring vegetation,春季植被
spring vibe,春天氛围
spruce,云杉
spruce cones,云杉球果
square,广场
squeezed,挤压
stacked boats,堆叠的船
stacked pots,堆叠的笼子
stacked rocks,叠石
stage,舞台
staged,摆拍
stained glass,彩色玻璃
stained glass window,彩色玻璃窗
stained glass windows,彩色玻璃窗
stainless steel,不锈钢
staircase,楼梯
staircases,楼梯
stairs,台阶
stalking,潜行
stamens,花蕊
standing stones,立石
star,星星
stare,凝视
starfield,星空
stargazing,观星
starry,繁星
starry sky,星空
stars,星星
starter,前菜
station,车站
stationery,文具
statue,雕像
statue of liberty,自由女神像
statues,雕像
steam,蒸汽
steel,钢铁
steel pitcher,不锈钢壶
steering wheel,方向盘
stem,茎
stems,花茎
steps,台阶
stick,棍子
still life,静物
stone,石头
stone alcove,石壁龛
stone arch,石拱门
stone archway,石拱门
stone balustrade,石栏杆
stone bench,石凳
stone bridge,石桥
stone building,石头建筑
stone buildings,石头建筑
stone carving,石雕
stone columns,石柱
stone doorway,石门
stone facade,石头外墙
stone house,石屋
stone houses,石屋
stone monument,石碑
stone parapet,石栏
stone pedestal,石基座
stone ruin,石头废墟
stone staircase,石阶
stone stairs,石阶
stone steps,石阶
stone surface,石头表面
stone texture,石头纹理
stone wall,石墙
stone walls,石墙
stone well,石井
stones,石头
stonework,石砌
store,商店
storefronts,店面
storm clouds,风暴云
stormy clouds,风暴云
stormy sky,暴风雨天空
strange,奇怪
straw,稻草
straw hat,草帽
stream,溪流
street,街道
street art,街头艺术
street corner,街角
street lamp,路灯
street lamps,路灯
street lights,路灯
street party,街头派对
street photography,街头摄影
street scene,街景
street trees,行道树
street under construction,施工中的街道
street view,街景
streetscape,街景
strength,力量
string lights,串灯
striped fur,条纹皮毛
striped top,条纹上衣
stripes,条纹
stubble,胡茬
student,学生
stuffed animal,毛绒玩具
stump,树桩
stunt,特技
style haussmannien,奥斯曼风格
stylish,时尚
stylized,风格化
subdued colors,柔和色调
suburb,郊区
suburban house,郊区住宅
suburban housing,郊区住宅
sugar,糖
sugar bowl,糖罐
suit,西装
summer,夏天
summer bloom,夏日花开
summer day,夏日
summer festival,夏日节庆
summer flowers,夏日花朵
summer forest,夏日森林
summer garden,夏日花园
summer harvest,夏季丰收
summer holiday,暑假
summer night,夏夜
summer style,夏日风格
summer vibes,夏日氛围
summery,夏日风情
summit,山顶
sun,太阳
sun and moon,日月
sun down,日落
sun flare,阳光耀斑
sun glare,阳光眩光
sun glints,阳光闪烁
sun logo,太阳图案
sun rays,阳光射线
sunbeams,阳光光束
sunburst,阳光四射
sunglasses,太阳镜
sunlight,阳光
sunlight reflections,阳光反射
sunny,晴天
sunny afternoon,晴朗午后
sunny day,晴天
sunrise,日出
sunset,日落
sunset colors,日落色彩
sunset sky,日落天空
sunstar,太阳星芒
supplies,用品
supreme,禽胸肉
surprising,惊讶
surrender,投降
surveillance,监控
sushi,寿司
suspension cables,悬索
sustainability,可持续性
sweaters,毛衣
sweet,甜食
sweet alyssum,香雪球
swirl,漩涡
sword and shield,剑与盾
sycle,镰刀
symbol,象征
symbolic,象征性
symes,西姆斯
symmetry,对称
syrup,糖浆
tabby and white cat,虎斑白猫
tabby cat,虎斑猫
tabernacle,圣体龛
table,桌子
table setting,餐桌布置
tablecloth,桌布
tables and chairs,桌椅
tablesooon,汤匙
tabletop,桌面
tachinid fly,寄蝇
tail feathers,尾羽
tall grass,高草
tall tree,高大的树
tall trees,高大的树木
tall windows,高窗
tamron,腾龙
tart,水果挞
tasty,美味
tattoo,纹身
tea,茶
tea ceremony,茶道
tea leaves,茶叶
tea pet,茶宠
tea tray,茶盘
teal,青色
teddy bear,泰迪熊
telefoto,长焦
telephoto,长焦
telephoto lens,长焦镜头
temps,天气
tenderness,温柔
terasse,露台
terrace,露台
terraced houses,排屋
terraced walls,梯田墙
terracotta roof tiles,陶土屋瓦
terroir,风土
text art,文字艺术
textile,纺织品
texture,纹理
textured ceramic,纹理陶瓷
textured wall,质感墙面
textures,纹理
theme,主题
thin crescent,蛾眉月
thoughtful,若有所思
thoughtful expression,若有所思的表情
thoughtful gaze,若有所思的目光
thread,线
three,三
three birds,三只鸟
three-masted ship,三桅船
three-wheeler,三轮车
thrush,鸫鸟
tidal flats,潮滩
tidal pools,潮池
tight,紧凑
tile patterns,瓷砖图案
tiled roofs,瓦屋顶
tiles,瓷砖
time,时间
tinsel,金属箔彩带
tiny flowers,小花
toasted bread,烤面包
together,一起
tone on tone,同色系
top view,俯视图
topiary,造型植物
total solar eclipse,日全食
totality,全食
toulouse,图卢兹
tour,塔
tour eiffel,埃菲尔铁塔
tour montparnasse,蒙帕纳斯大厦
tourism,旅游
tourist,游客
tourist attraction,旅游景点
tourists,游客
tousled hair,凌乱头发
tower,塔
town,小镇
town center,市中心
town centre,市中心
town hall,市政厅
town square,广场
town street,城镇街道
townscape,城镇景观
toy,玩具
toy photography,玩具摄影
tracery,花饰窗格
tracery windows,花饰窗
trade,贸易
tradition,传统
traditional,传统
traditional church,传统教堂
traffic,交通
traffic light,红绿灯
trail marker,步道标记
train,火车
traits,特征
tranquil,宁静
tranquility,宁静
transformer,变压器
transit,交通
transparency,透明
transparent,透明
transparent water,透明的水
transport,交通运输
transport en commun,公共交通
transportation,交通运输
trash,垃圾
travel,旅行
treat,零食
tree,树
tree bark,树皮
tree branch,树枝
tree branches,树枝
tree canopy,树冠
tree in blossom,开花的树
tree roots,树根
tree silhouette,树影
tree stump,树桩
tree trunk,树干
tree-lined path,林荫小路
tree-lined promenade,林荫大道
tree-lined street,林荫街道
trees,树木
treetops,树梢
tribute,致敬
tricolor,三色
tricolour,三色旗
triforium,楼廊
tropical,热带
troubled,忧虑
trumpet flower,喇叭形花
trunk,树干
truss bridge,桁架桥
tumbler glass,平底玻璃杯
tunnel,隧道
tunnel view,隧道景观
tureen,汤盅
turquoise,青绿色
turquoise netting,青绿色网
turquoise water,蓝绿色海水
turret,塔楼
tv antenna,电视天线
tv antennas,电视天线
twilight,黄昏
twilight sky,黄昏天空
two,两个
two birds,两只鸟
two horses,两匹马
two people,两个人
two-tone,双色
umbel,伞形花序
umbels,伞形花序
umbrella,雨伞
under the bridge,桥下
undergrowth,灌木丛
unease,不安
unesco world heritage,联合国教科文组织世界遗产
unesco world heritage site,联合国教科文组织世界遗产
unexpected encounter,意外邂逅
unicorn,独角兽
union,联盟
unique,独特
university laboral,希洪劳动大学城
urbain,城市
urban,城市
urban architecture,城市建筑
urban art,城市艺术
urban birds,城市鸟类
urban detail,城市细节
urban landscape,城市景观
urban life,城市生活
urban nature,城市自然
urban night,城市夜景
urban park,城市公园
urban planning,城市规划
urban rhythm,城市节奏
urban scene,城市场景
urban skyline,城市天际线
urban wildlife,城市野生动物
urbanismo,城市规划
user friendly,用户友好
v60,V60
vacance,假期
vacation,假期
valentine's day,情人节
valley,山谷
van,面包车
vandalism,破坏行为
vanishing point,消失点
vanitas,虚空派
vapor trail,水汽尾迹
vapor trails,水汽尾迹线
variegated leaves,斑叶
vaulted ceiling,拱形天花板
vegetable,蔬菜
vegetable purée,蔬菜泥
vegetale,植物
vegetation,植被
vegitable,蔬菜
vehicle,车辆
velouté,丝绒浓汤
velvet petals,丝绒般的花瓣
verdant,郁郁葱葱
vertical,垂直
vertical composition,竖构图
vertical view,垂直视角
vertigo,眩晕
vibrant,鲜艳
vibrant colors,鲜艳色彩
victory statue,胜利女神像
video game character,电子游戏角色
video games,电子游戏
vienne,维埃纳省
view from the sea,海上视角
vigil,守夜
villa,别墅
village,村庄
village houses,村舍
village street,村庄街道
villandry,维朗德里
villandry gardens,维朗德里城堡花园
ville,城市
ville rose,玫瑰之城
vine,藤蔓
vine leaves,葡萄叶
vine rows,葡萄藤行
vines,藤蔓
vineyard,葡萄园
vintage,复古
vintage lamp,复古灯
vintage rose,复古玫瑰
vintage van,复古小货车
vintage vibe,复古氛围
violet,紫罗兰
violets,紫罗兰
virginia creeper,五叶地锦
visitor,游客
visitors,游客
visual metaphor,视觉隐喻
vitesse,速度
viticulture,葡萄种植
vitraux,彩色玻璃窗
vivid,鲜艳
vivid color,鲜艳色彩
vivid colors,鲜艳色彩
voltage,电压
vosges,孚日山脉
vosgienne,孚日奶牛
votive candle,许愿蜡烛
votive candles,许愿蜡烛
votive lamp,长明灯
voyage,旅行
wake,航迹
walk,散步
walkers,散步者
walking,散步
walking away,离去背影
walking cat,行走的猫
walking pilgrims,朝圣者
walking trail,徒步小径
walkway,步道
wall,墙
wall clock,挂钟
wall lizard,壁蜥
wall texture,墙面纹理
wallpaper,壁纸
walls,墙壁
walnuts,核桃
wanderlust,旅行癖
war memorial,战争纪念碑
wardrobe,衣柜
warm,温暖
warm colors,暖色调
warm glow,暖光
warm light,暖光
warm tone,暖色调
warm tones,暖色调
waste,垃圾
waste container,垃圾箱
waste management,垃圾管理
watch chain,表链
water,水
water bottle,水瓶
water lilies,睡莲
water lily,睡莲
water plant,水草
water reflection,水中倒影
water spray,水花
water tower,水塔
watercourse,水道
watercraft,水上交通工具
waterfall,瀑布
watering can,洒水壶
waterway,水道
wave splash,浪花
waves,海浪
waving flag,飘扬的旗帜
way of st james,圣地亚哥朝圣之路
waymark,路标
wayside,路边
weapon,武器
weather,天气
weather gear,防雨装备
weather vane,风向标
weathered,风化
weathered cliffs,风化悬崖
weathered door,风化的门
weathered rock,风化岩石
weathered stone,风化石头
weathervane,风向标
web,蜘蛛网
wedding bands,婚戒
wedding day,婚礼当天
wedding details,婚礼细节
wedding invitation,婚礼请柬
wedding planning,婚礼策划
wedding rings,婚戒
wedding stationery,婚礼文具
weeds,杂草
weeping willow,垂柳
weeping willows,垂柳
weir,堰
welcoming,温馨
wet sand,湿沙
wheat,小麦
whimsical,奇幻
whiskers,胡须
white,白色
white and blue,白蓝相间
white background,白色背景
white bowl,白色碗
white car,白色汽车
white chair,白色椅子
white chocolate,白巧克力
white clouds,白云
white duvet,白色羽绒被
white floor,白色地板
white flower,白色花朵
white flowers,白花
white house,白色房子
white jacket,白色外套
white pizza,白披萨
white plate,白色餐盘
white poplar,银白杨
white rose,白玫瑰
white roses,白玫瑰
white sail,白色船帆
white shell,白色贝壳
white shirt,白衬衫
white sky,白色天空
white tower,白色塔
white wall,白墙
white water,白色水花
white wings,白色翅膀
whitestone,白石
wick,烛芯
wicker,藤编
wicker basket,柳条篮
wide angle,广角
wide view,广角视野
wild,野生
wild bird,野生鸟类
wild carrot,野胡萝卜
wild flora,野生植物
wild grass,野草
wild grasses,野草
wild plant,野生植物
wild vegetation,野生植被
wilderness,荒野
wildflower,野花
wildflowers,野花
wildlife,野生动物
wildlife photography,野生动物摄影
wilted,枯萎
wind,风
wind farm,风电场
wind generator,风力发电机
wind power,风能
wind turbine,风力涡轮机
wind turbines,风力涡轮机
winding path,蜿蜒小路
window,窗户
windows,窗户
windowsill,窗台
windshield view,挡风玻璃视角
windswept hair,被风吹乱的头发
wine,葡萄酒
wine bottle,酒瓶
wine region,葡萄酒产区
winged figure,带翼雕像
wings,翅膀
wink,眨眼
winter,冬天
wire fence,铁丝网
wire mesh,金属网
wire mesh lamp,金属网灯罩
wispy clouds,薄云
wisteria,紫藤
wisteria flower,紫藤花
withered roses,枯萎的玫瑰
woman,女人
women,女性
women walking,行走的女性
wood,木头
wood carving,木雕
wood grain,木纹
wooded hill,树木繁茂的山丘
wooded shore,林木岸边
wooden,木制
wooden beams,木梁
wooden bench,木长椅
wooden board,木板
wooden ceiling,木质天花板
wooden door,木门
wooden fence,木栅栏
wooden floor,木地板
wooden footbridge,木制人行桥
wooden handle,木柄
wooden peg,木钉
wooden pontoon,木栈台
wooden railing,木栏杆
wooden scoop,木勺
wooden shelf,木架
wooden shutters,木百叶窗
wooden stakes,木桩
wooden table,木桌
wooden tray,木托盘
wooden vault,木拱顶
wooden wheel,木轮
woodland,林地
woodland path,林间小径
wool,羊毛
work,工作
worker,工人
world war one,第一次世界大战
worm's eye view,仰视视角
woven blanket,编织毯
wrapped gifts,包装好的礼物
wrestling,摔跤
wrinkled face,皱脸
wrinkled sheets,褶皱床单
wrist,手腕
wristwatch,手表
wrought iron,锻铁
wrought iron bracket,铁艺支架
wrought iron fence,铸铁围栏
wrought iron railing,锻铁栏杆
wwi soldier,一战士兵
yachting,游艇运动
yellow,黄色
yellow background,黄色背景
yellow flower,黄花
yellow flowers,黄花
yellow kayaks,黄色皮划艇
yellow lichen,黄色地衣
yellow raincoat,黄色雨衣
yellow roses,黄玫瑰
yellow stamen,黄色花蕊
yellow wax,黄色蜡
yellow wildflowers,黄色野花
young,年轻
young adults,年轻人
young corn,嫩玉米
young man,年轻男子
young people,年轻人
young shoots,嫩芽
youth,青春
zen,禅意
zoo,动物园
zoom,变焦
zoom lens,变焦镜头
éclairage,灯光
éclairage naturel,自然光
écrasant,压迫感
été,夏天
